*******************************************************************************
 Revised: Dec 14, 2021             Gaia Observatory                     -139479
                               http://sci.esa.int/gaia/

 BACKGROUND:
  Gaia is designed and operated by the European Space Agency. It launched
  December 19, 2013 @ 09:12 UTC on a Soyuz launcher from Kourou, French Guiana.

  On 2014-Jan-08, it arrived at its operational Lissajous orbit around the 
  gravitationally stable Earth-Sun Lagrange-point L2, roughly 1.5 million km 
  from Earth in the direction opposite the Sun.  The orbit is not shadowed by 
  Earth eclipses. The orbit period is about 180 days; the size of the orbit 
  is typically 340,000 x 90,000 km. 
 
 MISSION:
  Gaia's 5-year primary mission is to ... 

    * Measure the positions of ~1 billion stars both in our Galaxy and other 
       members of the Local Group, with an accuracy down to 24 uas 
    * Perform spectral and photometric measurements of all objects 
    * Derive space velocities of the Galaxy's constituent stars using the 
       stellar distances and motions
    * Create a three-dimensional structural map of the Galaxy

  Additional expected results include extrasolar planet detection, brown dwarf 
  detection, solar system asteroid discoveries, supernova early detection, and 
  testing of Einstein's general relativity.
 
 GAIA SPACECRAFT: 
  Spacecraft dry mass total       1392 kg
  Propellant                       237 kg
  Total launch mass               2029 kg
  Power: 12.8 m^2 solar array provides up to 1910 Watts

 SCIENCE INSTRUMENTS:
  Single integrated instrument that comprises three major functions: 
  astrometry, photometry (320-1000 nm) and spectrometry (846-874 nm). 

  The three functions use two common telescopes and a shared focal plane, 
  with each function having a dedicated area on the large 0.5m x 1m CCD 
  detector array.

 SPACECRAFT TRAJECTORY (from ESA 2021-Dec-14, predicts thereafter)
  Trajectory name                                    Start         Stop
  --------------------------------------------    -----------   -----------
  ORB1_20211214_000001                            2013-Dec-19   2026-Sep-14 
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Jan 22 01:14:48 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Gaia (spacecraft) (-139479)     {source: gaia_merged}
Center body name: Earth (399)                     {source: gaia_merged}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Feb-01 00:00:00.0000 UT      
Stop  time      : A.D. 2026-Jul-15 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: gaia_merged}
Rel. light bend : Sun, EARTH                      {source: gaia_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
EOP file        : eop.220120.p220415                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JAN-20. PREDICTS-> 2022-APR-14
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************
 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Feb-01 00:00     08 03 28.72 +18 49 40.5  0.00939705887799   0.0646387     0.07815296
 2014-Feb-02 00:00     08 06 54.29 +18 54 03.6  0.00943372317791   0.0622773     0.07845788
 2014-Feb-03 00:00     08 10 23.17 +18 57 58.4  0.00946893152783   0.0595794     0.07875070
 2014-Feb-04 00:00     08 13 55.77 +19 01 22.6  0.00950246576142   0.0564735     0.07902960
 2014-Feb-05 00:00     08 17 32.37 +19 04 14.7  0.00953408391086   0.0529460     0.07929256
 2014-Feb-06 00:00     08 21 13.08 +19 06 33.6  0.00956354856924   0.0490229     0.07953761
 2014-Feb-07 00:00     08 24 57.92 +19 08 18.5  0.00959064427654   0.0447515     0.07976296
 2014-Feb-08 00:00     08 28 46.82 +19 09 29.1  0.00961518565065   0.0401870     0.07996706
 2014-Feb-09 00:00     08 32 39.65 +19 10 05.1  0.00963701953038   0.0353850     0.08014865
 2014-Feb-10 00:00     08 36 36.22 +19 10 06.4  0.00965602424604   0.0303989     0.08030670
 2014-Feb-11 00:00     08 40 36.34 +19 09 33.0  0.00967210898873   0.0252827     0.08044048
 2014-Feb-12 00:00     08 44 39.76 +19 08 25.0  0.00968521479677   0.0200933     0.08054948
 2014-Feb-13 00:00     08 48 46.24 +19 06 42.6  0.00969531745458   0.0148948     0.08063350
 2014-Feb-14 00:00     08 52 55.51 +19 04 25.9  0.00970243235492   0.0097599     0.08069267
 2014-Feb-15 00:00     08 57 07.29 +19 01 35.2  0.00970661882117   0.0047676     0.08072749
 2014-Feb-16 00:00     09 01 21.31 +18 58 10.7  0.00970798244827  -0.0000019     0.08073883
 2014-Feb-17 00:00     09 05 37.28 +18 54 12.4  0.00970667445183  -0.0044714     0.08072795
 2014-Feb-18 00:00     09 09 54.89 +18 49 40.5  0.00970290039438  -0.0085050     0.08069656
 2014-Feb-19 00:00     09 14 13.86 +18 44 34.9  0.00969690844454  -0.0121660     0.08064673
 2014-Feb-20 00:00     09 18 33.96 +18 38 55.1  0.00968894287023  -0.0153299     0.08058048
 2014-Feb-21 00:00     09 22 54.98 +18 32 40.5  0.00967930661581  -0.0179429     0.08050034
 2014-Feb-22 00:00     09 27 16.78 +18 25 49.9  0.00966833152436  -0.0199593     0.08040906
 2014-Feb-23 00:00     09 31 39.27 +18 18 21.7  0.00965637244995  -0.0213461     0.08030960
 2014-Feb-24 00:00     09 36 02.46 +18 10 14.0  0.00964379805876  -0.0220900     0.08020502
 2014-Feb-25 00:00     09 40 26.47 +18 01 23.9  0.00963097660723  -0.0222075     0.08009839
 2014-Feb-26 00:00     09 44 51.53 +17 51 48.3  0.00961825560845  -0.0217556     0.07999259
 2014-Feb-27 00:00     09 49 17.99 +17 41 23.4  0.00960597666036  -0.0206361     0.07989047
 2014-Feb-28 00:00     09 53 46.30 +17 30 05.0  0.00959442995321  -0.0193243     0.07979444
 2014-Mar-01 00:00     09 58 17.02 +17 17 48.7  0.00958367702071  -0.0179071     0.07970501
 2014-Mar-02 00:00     10 02 50.60 +17 04 31.3  0.00957372448593  -0.0165778     0.07962224
 2014-Mar-03 00:00     10 07 27.50 +16 50 09.7  0.00956448962972  -0.0154441     0.07954543
 2014-Mar-04 00:00     10 12 08.08 +16 34 41.8  0.00955582601926  -0.0146132     0.07947338
 2014-Mar-05 00:00     10 16 52.60 +16 18 05.8  0.00954754034550  -0.0141404     0.07940447
